PRT_ID,AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_OVERALL,Total_Sales_Price
P08876,Adyar,647,2007-07-12,45,1.0,1.0,2,Family,1,1997-07-14,Commercial,All Pub,No Access,RH,3.54,10024553
P02602,Adyar,1273,2011-09-04,66,2.0,2.0,4,Ab Normal,0,2005-09-05,Others,ELO,No Access,A,3.12,7779564
P03339,Adyar,676,2011-04-11,67,1.0,1.0,2,Partial,1,1980-04-18,Commercial,NoSewr ,No Access,I,2.49,8736484
P04269,Adyar,1279,2010-10-03,190,2.0,2.0,4,AdjLand,0,1976-10-11,House,NoSeWa,Gravel,RH,4.3,10292349
P08316,Adyar,1067,2008-02-16,55,1.0,1.0,3,Partial,1,1981-02-22,House,ELO,No Access,RH,3.23,8294742
P07170,Adyar,1001,2009-01-30,58,1.0,1.0,3,Normal Sale,1,1972-02-09,Others,All Pub,Gravel,RL,3.19,11070976
P03693,Adyar,693,2011-01-30,80,1.0,1.0,2,AdjLand,1,1977-02-07,House,ELO,Gravel,C,3.86,7223486
P07266,Adyar,789,2009-01-04,117,1.0,1.0,2,Ab Normal,0,1971-01-14,Commercial,All Pub,Paved,A,3.37,8527268
P06712,Adyar,1065,2009-06-18,75,1.0,1.0,3,AdjLand,0,1990-06-23,Others,NoSewr ,Paved,I,4.22,9127102
P01888,Adyar,1180,2012-01-21,63,1.0,1.0,3,AdjLand,1,1993-01-25,House,NoSewr ,Paved,I,2.94,9867465
P01875,Adyar,1284,2012-01-23,199,2.0,2.0,4,Ab Normal,1,1987-01-29,House,NoSeWa,Paved,RH,2.37,10369969
P05729,Adyar,952,2010-01-03,167,1.0,1.0,3,Partial,0,1987-01-09,Commercial,NoSewr ,Gravel,C,4.04,11132408
P07020,Adyar,1100,2009-03-21,135,1.0,1.0,3,Partial,1,1976-03-29,Others,All Pub,No Access,RM,3.71,10632252
P03543,Adyar,1300,2011-03-05,72,2.0,2.0,4,Ab Normal,0,1984-03-11,House,All Pub,Gravel,RM,3.02,11494813
P09539,Adyar,1089,2006-10-19,82,1.0,1.0,3,Family,1,1985-10-24,Others,NoSewr ,No Access,I,3.69,8997829
P05691,Adyar,1300,2010-01-11,77,2.0,2.0,4,Normal Sale,0,1975-01-20,House,NoSewr ,Paved,RH,3.29,9493169
P08863,Adyar,1068,2007-07-21,167,1.0,1.0,3,AdjLand,0,1968-07-30,Others,NoSeWa,No Access,C,3.86,7882774
P02659,Adyar,1268,2011-08-24,185,2.0,2.0,4,Normal Sale,0,1996-08-27,Others,All Pub,No Access,RM,3.5,11264923
P06962,Adyar,927,2009-04-04,29,1.0,1.0,3,Ab Normal,1,1991-04-09,Commercial,ELO,Gravel,A,3.55,11379601
P01905,Adyar,843,2012-01-17,68,1.0,1.0,3,Normal Sale,0,1986-01-23,House,ELO,Paved,RM,3.44,8652135
P07293,Adyar,1022,2008-12-28,129,1.0,1.0,3,AdjLand,0,1998-12-31,House,NoSewr ,Gravel,RH,2.71,9433845
P02249,Adyar,923,2011-11-06,9,1.0,1.0,3,Ab Normal,0,1977-11-14,Commercial,ELO,No Access,C,2.99,9380141
P03394,Adyar,631,2011-04-03,91,1.0,1.0,2,Partial,1,1989-04-08,House,NoSeWa,Gravel,RL,4.18,8483266
P07801,Adyar,720,2008-07-29,192,1.0,1.0,2,AdjLand,1,1985-08-04,Commercial,ELO,Paved,RL,3.84,11986970
P07506,Adyar,1152,2008-10-19,183,1.0,1.0,3,AdjLand,1,1998-10-22,Others,NoSeWa,No Access,A,3.94,8598124
P03152,Adyar,898,2011-05-16,4,1.0,1.0,3,Ab Normal,1,1999-05-19,House,NoSeWa,Paved,RL,4.7,9724395
P03875,Adyar,918,2010-12-24,75,1.0,1.0,3,Ab Normal,0,1975-01-02,Commercial,All Pub,Gravel,A,4.24,10241972
P09475,Adyar,626,2006-11-19,27,1.0,1.0,2,AdjLand,0,1974-11-27,Others,All Pub,Gravel,RL,3.59,8516453
P07620,Adyar,615,2008-09-18,98,1.0,1.0,2,AdjLand,1,1980-09-25,Others,ELO,Gravel,I,4.15,8024150
P04941,Adyar,630,2010-05-30,77,1.0,1.0,2,AdjLand,1,2001-06-01,House,NoSewr ,Paved,RL,3.18,8889749
P07995,Adyar,833,2008-05-27,130,1.0,1.0,3,Partial,0,1998-05-30,Commercial,All Pub,No Access,RM,2.78,11724247
P08277,Adyar,1282,2008-03-01,63,2.0,2.0,4,Ab Normal,1,1970-03-11,Others,NoSewr ,Gravel,A,2.65,9652972
P07661,Adyar,968,2008-09-08,49,1.0,1.0,3,AdjLand,1,1971-09-18,Others,ELO,Gravel,RL,4.18,11005860
P08788,Adyar,1177,2007-08-18,47,1.0,1.0,3,AdjLand,1,2000-08-19,House,ELO,Gravel,RH,3.96,11218954
P07110,Adyar,1152,2009-02-20,75,1.0,1.0,3,Ab Normal,0,1997-02-23,Others,NoSeWa,No Access,RM,3.07,10228221
P06337,Adyar,998,2009-09-11,140,1.0,1.0,3,Partial,1,1992-09-15,Others,NoSeWa,Gravel,A,3.77,8226755
P09070,Adyar,1041,2007-04-18,78,1.0,1.0,3,AdjLand,0,1985-04-23,Commercial,ELO,Paved,A,4.1,11061745
P04334,Adyar,1197,2010-09-21,76,1.0,1.0,3,AdjLand,1,1996-09-24,Others,All Pub,Paved,C,4.17,10380975
P03411,Adyar,736,2011-04-01,79,1.0,1.0,2,AdjLand,1,2004-04-02,House,NoSewr ,No Access,RH,4.06,8113785
P06036,Adyar,632,2009-11-05,50,1.0,1.0,2,Ab Normal,1,1989-11-10,Others,NoSeWa,Paved,RM,3.4,9291078
P02857,Adyar,811,2011-07-11,192,1.0,1.0,3,Partial,1,2005-07-12,Commercial,NoSewr ,No Access,A,2.87,9150893
P06012,Adyar,1087,2009-11-10,141,1.0,1.0,3,Normal Sale,0,2004-11-11,Others,All Pub,Paved,C,4.47,8587774
P08730,Adyar,725,2007-09-07,2,1.0,1.0,2,Normal Sale,0,2002-09-08,Others,NoSeWa,No Access,RM,4.18,8353873
P04636,Adyar,1248,2010-07-27,159,2.0,2.0,4,Normal Sale,0,1991-08-01,House,All Pub,Paved,I,4.57,9133180
P07629,Adyar,1135,2008-09-16,124,1.0,1.0,3,Ab Normal,0,1993-09-20,Others,All Pub,Gravel,C,3.74,9081886
P09512,Adyar,831,2006-10-30,139,1.0,1.0,3,Family,0,1993-11-02,Others,NoSewr ,No Access,RL,2.98,8053306
P02968,Adyar,890,2011-06-21,97,1.0,1.0,3,Normal Sale,0,1986-06-27,Commercial,NoSeWa,No Access,A,3.6,8801959
P08553,Adyar,1291,2007-11-09,112,2.0,2.0,4,AdjLand,0,1984-11-14,Others,NoSewr ,Gravel,I,3.02,10493835
P01559,Adyar,1113,2012-03-18,33,1.0,1.0,3,Normal Sale,1,2006-03-20,Others,NoSeWa,Paved,A,4.1,8855065
P09387,Adyar,713,2006-12-26,39,1.0,1.0,2,Normal Sale,0,1986-12-31,Others,NoSeWa,Paved,RL,3.39,7983040
P02097,Adyar,1122,2011-12-11,32,1.0,1.0,3,Ab Normal,0,1986-12-17,House,ELO,Paved,I,2.84,7835697
P06873,Adyar,1242,2009-05-01,196,2.0,2.0,4,Family,1,1970-05-11,House,NoSeWa,Gravel,I,3.9,9800516
P09473,Adyar,790,2006-11-20,102,1.0,1.0,2,AdjLand,0,1966-11-30,House,ELO,Gravel,RH,3.13,7630426
P08383,Adyar,797,2008-01-21,74,1.0,1.0,2,AdjLand,1,1969-01-30,House,ELO,No Access,RL,4.26,8325989
P08340,Adyar,858,2008-02-07,149,1.0,1.0,3,Family,1,1995-02-10,House,NoSeWa,Paved,RM,3.86,9926492
P04617,Adyar,1293,2010-07-30,136,2.0,2.0,4,AdjLand,0,2005-07-31,House,NoSeWa,No Access,RH,3.27,9477550
P07404,Adyar,1016,2008-11-22,24,1.0,1.0,3,Ab Normal,0,1972-12-01,House,ELO,No Access,RH,4.47,7379848
P08581,Adyar,715,2007-10-31,131,1.0,1.0,2,Normal Sale,1,1997-11-02,Commercial,ELO,Paved,RH,3.05,11015659
P01790,Adyar,1118,2012-02-08,145,1.0,1.0,3,Normal Sale,1,1974-02-17,House,NoSeWa,No Access,RH,3.07,8660059
P08560,Adyar,792,2007-11-07,93,1.0,1.0,2,Partial,0,1997-11-09,Commercial,All Pub,Paved,I,3.0,10007780
P09309,Adyar,1190,2007-01-23,37,1.0,1.0,3,Normal Sale,1,1982-01-29,House,NoSewr ,No Access,RL,3.2,9998924
P04839,Adyar,925,2010-06-21,19,1.0,1.0,3,Partial,0,1975-06-30,Others,NoSeWa,Paved,RH,3.07,7862111
P08047,Adyar,947,2008-05-11,151,1.0,1.0,3,AdjLand,1,1994-05-15,House,ELO,No Access,RL,2.48,9261872
P01911,Adyar,852,2012-01-16,68,1.0,1.0,3,Partial,0,1988-01-22,Commercial,ELO,Paved,A,3.49,8714953
P07527,Adyar,1152,2008-10-13,80,1.0,1.0,3,Ab Normal,1,1969-10-23,House,All Pub,Paved,RL,3.62,10439058
P06912,Adyar,994,2009-04-20,185,1.0,1.0,3,Partial,1,1982-04-27,Others,NoSewr ,No Access,C,3.3,7486520
P03934,Adyar,1241,2010-12-09,62,2.0,2.0,4,AdjLand,0,1977-12-17,Others,NoSewr ,Paved,RL,3.65,11086771
P06579,Adyar,928,2009-07-21,126,1.0,1.0,3,Ab Normal,0,1969-07-31,Commercial,All Pub,No Access,RH,4.11,11114890
P08888,Adyar,790,2007-07-04,200,1.0,1.0,2,Normal Sale,0,1978-07-11,Commercial,NoSeWa,Gravel,I,2.87,10206904
P08054,Adyar,960,2008-05-09,166,1.0,1.0,3,Family,1,1982-05-16,Others,ELO,Paved,I,4.31,8731502
P09262,Adyar,1195,2007-02-08,139,1.0,1.0,3,Partial,1,2002-02-09,Others,NoSewr ,Gravel,C,3.0,9997277
P08312,Adyar,1080,2008-02-17,171,1.0,1.0,3,Partial,1,2001-02-18,Others,NoSewr ,Paved,RL,3.96,10936622
P01685,Adyar,855,2012-02-26,117,1.0,1.0,3,Normal Sale,1,1975-03-07,House,ELO,Gravel,I,3.38,8080767
P06369,Adyar,919,2009-09-04,111,1.0,1.0,3,Family,1,2000-09-06,Others,All Pub,No Access,RH,4.03,9198858
P02636,Adyar,1167,2011-08-30,15,1.0,1.0,3,AdjLand,0,2004-08-31,Others,NoSeWa,No Access,RM,3.86,10883114
P09534,Adyar,1051,2006-10-21,38,1.0,1.0,3,AdjLand,0,1978-10-28,Others,ELO,Gravel,C,3.28,8503241
P08028,Adyar,919,2008-05-16,147,1.0,1.0,3,AdjLand,0,1968-05-26,House,NoSeWa,Gravel,RM,3.57,9738574
P06810,Adyar,1098,2009-05-16,18,1.0,1.0,3,Partial,1,1975-05-25,House,All Pub,Gravel,RM,2.25,10957553
P07023,Adyar,1010,2009-03-20,121,1.0,1.0,3,Partial,1,1989-03-25,Others,NoSeWa,No Access,RM,3.62,10161113
P08875,Adyar,994,2007-07-14,14,1.0,1.0,3,Normal Sale,1,1974-07-22,House,NoSeWa,Gravel,RM,3.41,10817934
P04324,Adyar,650,2010-09-22,159,1.0,1.0,2,AdjLand,1,1989-09-27,House,NoSewr ,Paved,RM,3.56,9470455
P09338,Adyar,840,2007-01-12,97,1.0,1.0,3,Normal Sale,1,1972-01-21,House,NoSeWa,No Access,RM,3.34,8881033
P08174,Adyar,809,2008-04-01,171,1.0,1.0,3,Partial,1,1999-04-04,Others,ELO,Paved,RL,3.62,9513904
P06761,Adyar,1054,2009-06-02,59,1.0,1.0,3,Normal Sale,0,1997-06-05,Others,NoSewr ,No Access,I,3.53,7995502
P06936,Adyar,1019,2009-04-14,87,1.0,1.0,3,Ab Normal,1,1988-04-19,House,NoSeWa,Paved,RH,3.93,9411901
P02291,Adyar,700,2011-10-30,134,1.0,1.0,2,Family,1,1996-11-02,House,NoSewr ,Paved,RH,3.38,7959563
P06861,Adyar,712,2009-05-04,118,1.0,1.0,2,Family,1,1998-05-07,Commercial,NoSewr ,Paved,RH,3.65,11147710
P03737,Adyar,936,2011-01-20,106,1.0,1.0,3,Normal Sale,1,1987-01-26,Others,ELO,Paved,RH,3.29,9499211
P07769,Adyar,1175,2008-08-08,69,1.0,1.0,3,Normal Sale,1,1979-08-16,Others,ELO,Paved,RL,3.83,11312198
P06600,Adyar,824,2009-07-17,46,1.0,1.0,3,Family,1,1980-07-24,Others,All Pub,Paved,I,2.74,8251549
P05987,Adyar,1128,2009-11-15,123,1.0,1.0,3,Partial,1,1975-11-24,House,All Pub,No Access,RM,3.49,10010672
P08363,Adyar,680,2008-01-28,126,1.0,1.0,2,AdjLand,1,1986-02-02,Commercial,ELO,Paved,A,3.51,8914998
P09032,Adyar,1240,2007-05-07,5,2.0,2.0,4,Partial,1,1999-05-09,Others,NoSeWa,Paved,RH,4.09,11115477
P08562,Adyar,1266,2007-11-07,7,2.0,2.0,4,Family,0,1969-11-16,Others,NoSewr ,Gravel,A,3.89,8537136
P04170,Adyar,1294,2010-10-23,26,2.0,2.0,4,Partial,1,1990-10-28,House,NoSeWa,Gravel,RH,3.9,10850549
P09422,Adyar,784,2006-12-14,17,1.0,1.0,2,AdjLand,0,1983-12-20,House,NoSewr ,Gravel,RM,3.14,9487203
P06978,Adyar,953,2009-04-01,63,1.0,1.0,3,Partial,1,1986-04-07,Others,NoSeWa,Paved,I,3.32,8579458
P08696,Adyar,1191,2007-09-17,152,1.0,1.0,3,Partial,0,1984-09-22,Others,NoSeWa,Paved,C,3.67,8105816
P08220,Adyar,1234,2008-03-19,129,2.0,2.0,4,Normal Sale,0,1992-03-23,Others,All Pub,No Access,A,3.0,7734095
P04307,Adyar,662,2010-09-25,138,1.0,1.0,2,AdjLand,1,1983-10-02,Commercial,NoSeWa,Gravel,A,2.8,9140092
P08763,Adyar,1252,2007-08-29,15,2.0,2.0,4,Family,1,1995-09-01,House,ELO,No Access,I,2.44,8939210
P02637,Adyar,637,2011-08-30,197,1.0,1.0,2,Partial,1,2000-09-01,Commercial,All Pub,Paved,RL,3.57,11010621
P04791,Adyar,1033,2010-06-30,18,1.0,1.0,3,Family,1,1977-07-08,House,NoSeWa,Paved,I,3.8,8328699
P07978,Adyar,861,2008-06-03,153,1.0,1.0,3,AdjLand,1,2003-06-05,House,ELO,Paved,C,3.15,7920906
P07283,Adyar,655,2008-12-30,25,1.0,1.0,2,Family,0,1973-01-08,Commercial,ELO,No Access,RH,4.05,8225776
P06467,Adyar,870,2009-08-12,5,1.0,1.0,3,Ab Normal,1,1975-08-21,Commercial,All Pub,Paved,I,2.81,11566561
P06050,Adyar,1122,2009-11-02,178,1.0,1.0,3,Normal Sale,1,1996-11-05,Others,All Pub,No Access,C,4.14,8908662
P08361,Adyar,1223,2008-01-30,99,2.0,2.0,4,Partial,0,1978-02-06,Others,All Pub,No Access,A,4.12,7173348
P05547,Adyar,1219,2010-02-05,108,2.0,2.0,4,Family,0,1986-02-11,House,NoSewr ,No Access,I,2.75,7740672
P07009,Adyar,884,2009-03-26,161,1.0,1.0,3,Normal Sale,1,1986-04-01,Others,NoSeWa,No Access,RM,2.73,9822251
P02547,Adyar,1158,2011-09-13,188,1.0,1.0,3,Family,1,1979-09-21,Others,NoSewr ,Gravel,RH,3.1,10864389
P03912,Adyar,1046,2010-12-16,138,1.0,1.0,3,Normal Sale,0,1982-12-23,Commercial,NoSeWa,No Access,I,2.7,11298231
P05575,Adyar,641,2010-02-01,168,1.0,1.0,2,AdjLand,0,1993-02-05,Commercial,NoSewr ,Paved,RL,2.59,10385561
P09114,Adyar,994,2007-04-03,106,1.0,1.0,3,Normal Sale,0,1995-04-06,Commercial,All Pub,Gravel,A,3.25,11322449
P08746,Adyar,848,2007-09-03,46,1.0,1.0,3,Partial,1,1985-09-08,Commercial,NoSewr ,Paved,RH,4.03,11958857
P03021,Adyar,1110,2011-06-13,53,1.0,1.0,3,Normal Sale,1,1987-06-19,Others,NoSeWa,Gravel,A,3.53,8997674
P08782,Adyar,900,2007-08-21,20,1.0,1.0,3,AdjLand,1,1971-08-30,Others,NoSeWa,Gravel,RL,2.73,10472807
P08456,Adyar,1025,2007-12-25,170,1.0,1.0,3,AdjLand,0,1974-01-02,Others,All Pub,Gravel,RM,4.87,11201449
P05543,Adyar,645,2010-02-06,19,1.0,1.0,2,Normal Sale,1,1998-02-09,Commercial,NoSeWa,Paved,C,3.11,9162806
P04091,Adyar,781,2010-11-10,164,1.0,1.0,2,AdjLand,0,1998-11-13,Commercial,NoSewr ,Gravel,RH,3.64,11749142
P08764,Adyar,1274,2007-08-29,166,2.0,2.0,4,Partial,0,1997-08-31,Others,All Pub,No Access,RH,3.85,9764463
P07178,Adyar,805,2009-01-27,63,1.0,1.0,3,AdjLand,1,1982-02-03,Others,All Pub,Gravel,I,3.53,9291782
P01576,Adyar,648,2012-03-15,143,1.0,1.0,2,Family,0,1978-03-24,Commercial,NoSeWa,Gravel,RM,4.13,10841050
P06214,Adyar,1018,2009-10-05,66,1.0,1.0,3,Family,1,2001-10-07,Others,All Pub,No Access,RH,3.46,9692412
P08981,Adyar,1282,2007-05-25,149,2.0,2.0,4,Normal Sale,1,1989-05-29,House,NoSewr ,No Access,RM,3.91,11371537
P06588,Adyar,909,2009-07-19,62,1.0,1.0,3,Ab Normal,1,1983-07-26,House,ELO,Paved,RH,3.36,8626392
P07233,Adyar,690,2009-01-12,115,1.0,1.0,2,AdjLand,1,2000-01-15,Others,All Pub,Paved,C,3.52,7740767
P07817,Adyar,921,2008-07-23,163,1.0,1.0,3,Normal Sale,0,1998-07-26,Others,All Pub,No Access,I,2.55,7465380
P02657,Adyar,712,2011-08-25,37,1.0,1.0,2,Ab Normal,0,1996-08-28,House,All Pub,No Access,RL,4.03,7229234
P06654,Adyar,929,2009-07-03,91,1.0,1.0,3,AdjLand,1,1980-07-10,House,NoSewr ,No Access,RM,3.35,9865134
P09470,Adyar,912,2006-11-21,181,1.0,1.0,3,Partial,1,1990-11-25,Commercial,NoSeWa,No Access,A,3.04,9789701
P06336,Adyar,1045,2009-09-11,76,1.0,1.0,3,Family,0,1989-09-16,Commercial,ELO,Paved,I,2.95,11692354
P04628,Adyar,606,2010-07-28,72,1.0,1.0,2,Family,1,1974-08-06,Commercial,NoSeWa,Paved,I,4.02,8983975
P08820,Adyar,1073,2007-08-07,146,1.0,1.0,3,Normal Sale,0,1999-08-09,Others,ELO,No Access,RM,3.04,9975828
P06722,Adyar,795,2009-06-14,155,1.0,1.0,2,AdjLand,1,1974-06-23,Others,All Pub,Gravel,RL,4.11,10352290
P06820,Adyar,969,2009-05-13,104,1.0,1.0,3,Ab Normal,1,1974-05-22,Commercial,NoSewr ,No Access,I,3.12,11636986
P04695,Adyar,958,2010-07-17,120,1.0,1.0,3,Family,1,2002-07-19,Commercial,ELO,Gravel,A,3.98,11693032
P05853,Adyar,1109,2009-12-10,132,1.0,1.0,3,Ab Normal,1,1977-12-18,House,All Pub,Paved,RL,3.76,10456190
P06013,Adyar,791,2009-11-10,143,1.0,1.0,2,Ab Normal,0,2004-11-11,House,NoSewr ,Paved,RH,3.97,7727239
P08912,Adyar,1033,2007-06-22,200,1.0,1.0,3,Partial,1,1977-06-29,Others,NoSewr ,No Access,I,4.22,8371690
P09441,Adyar,729,2006-12-05,90,1.0,1.0,2,Normal Sale,0,1996-12-07,Others,All Pub,No Access,RH,2.9,7155106
P06314,Adyar,794,2009-09-15,75,1.0,1.0,2,Partial,0,1976-09-23,Commercial,NoSeWa,Gravel,RH,4.79,10725430
P05685,Adyar,831,2010-01-12,26,1.0,1.0,3,Ab Normal,0,1994-01-16,Others,ELO,No Access,RL,3.32,7970562
P06756,Adyar,1115,2009-06-04,81,1.0,1.0,3,Ab Normal,1,1971-06-14,House,All Pub,No Access,RM,3.0,10206776
P07082,Adyar,833,2009-03-02,87,1.0,1.0,3,Partial,0,1975-03-11,Commercial,All Pub,Gravel,RL,2.95,11731626
P03207,Adyar,897,2011-05-05,168,1.0,1.0,3,Ab Normal,0,1996-05-08,Others,NoSeWa,Gravel,RM,3.65,10214891
P04069,Adyar,985,2010-11-14,100,1.0,1.0,3,Normal Sale,0,1970-11-24,Others,NoSewr ,Gravel,C,2.88,7714669
P06344,Adyar,1002,2009-09-10,149,1.0,1.0,3,Family,1,2001-09-12,Others,NoSeWa,Paved,A,4.1,8009441
P03053,Adyar,1272,2011-06-05,102,2.0,2.0,4,Partial,0,1991-06-10,House,ELO,Paved,RM,3.13,10403859
P09129,Adyar,1085,2007-03-28,66,1.0,1.0,3,AdjLand,1,1975-04-05,House,All Pub,Paved,I,3.06,9259251
P07782,Adyar,1209,2008-08-04,55,2.0,2.0,4,Normal Sale,1,1989-08-09,House,NoSewr ,Paved,RL,4.21,11109848
P03723,Adyar,1063,2011-01-24,88,1.0,1.0,3,AdjLand,1,2004-01-26,Others,NoSewr ,Paved,RH,4.02,10978415
P06945,Adyar,648,2009-04-12,140,1.0,1.0,2,Family,0,1985-04-18,Commercial,NoSeWa,No Access,RH,3.14,8382015
P01596,Adyar,778,2012-03-12,61,1.0,1.0,2,Family,0,1996-03-16,Commercial,NoSeWa,Gravel,I,3.77,10135829
P06321,Adyar,837,2009-09-14,151,1.0,1.0,3,Ab Normal,1,1972-09-23,Commercial,All Pub,No Access,RH,3.06,11194865
P08197,Adyar,1159,2008-03-25,140,1.0,1.0,3,Normal Sale,1,1968-04-04,House,All Pub,Gravel,RL,2.58,10914398
P03400,Adyar,1288,2011-04-02,45,2.0,2.0,4,AdjLand,0,1983-04-09,House,NoSeWa,Gravel,RH,3.31,10279377
P03236,Adyar,1130,2011-04-29,124,1.0,1.0,3,Family,1,1975-05-08,House,ELO,Gravel,RL,2.77,10341593
P05053,Adyar,682,2010-05-08,6,1.0,1.0,2,AdjLand,0,1996-05-11,Commercial,NoSewr ,No Access,RL,3.69,10202931
P02306,Adyar,1252,2011-10-27,70,2.0,2.0,4,Ab Normal,0,1974-11-05,Others,NoSeWa,Paved,RM,4.33,11233184
P06345,Adyar,920,2009-09-10,136,1.0,1.0,3,Normal Sale,1,1978-09-18,Others,NoSewr ,Paved,RL,4.2,10088730
P09073,Adyar,700,2007-04-16,68,1.0,1.0,2,Ab Normal,1,1986-04-21,House,NoSeWa,No Access,RH,3.27,7199881
P04100,Adyar,642,2010-11-08,79,1.0,1.0,2,Ab Normal,1,1979-11-16,Commercial,All Pub,No Access,RH,4.01,9839004
P05556,Adyar,1217,2010-02-04,134,2.0,2.0,4,Ab Normal,0,1984-02-11,Others,ELO,Gravel,RM,4.17,11608605
P01478,Adyar,1209,2012-04-10,47,2.0,2.0,4,Ab Normal,0,1974-04-20,House,All Pub,Gravel,A,4.5,7757558
P08777,Adyar,1062,2007-08-23,45,1.0,1.0,3,Partial,0,2000-08-24,House,NoSeWa,Paved,RL,2.29,8955261
P01601,Adyar,1157,2012-03-11,135,1.0,1.0,3,Ab Normal,0,1985-03-18,Others,NoSeWa,Paved,C,2.61,8123605
P01459,Adyar,1297,2012-04-22,86,2.0,2.0,4,Normal Sale,1,1982-04-30,Others,ELO,Paved,I,3.44,10491572
P07868,Adyar,632,2008-07-08,32,1.0,1.0,2,AdjLand,1,1985-07-14,Others,NoSewr ,Paved,C,3.63,7106074
P02792,Adyar,1028,2011-07-26,158,1.0,1.0,3,Family,1,1999-07-29,Commercial,NoSewr ,Paved,A,3.54,11799506
P06865,Adyar,797,2009-05-03,99,1.0,1.0,2,AdjLand,1,1981-05-10,House,NoSeWa,No Access,RL,2.75,8357122
P09311,Adyar,871,2007-01-22,136,1.0,1.0,3,AdjLand,0,1990-01-26,Commercial,All Pub,Gravel,C,4.78,11424402
P02842,Adyar,770,2011-07-15,108,1.0,1.0,2,Family,0,2004-07-16,Others,NoSewr ,No Access,RM,4.41,8637018
P03317,Adyar,876,2011-04-14,89,1.0,1.0,3,AdjLand,1,2004-04-15,House,NoSewr ,Paved,A,3.51,7461217
P04439,Adyar,743,2010-08-30,191,1.0,1.0,2,AdjLand,0,1976-09-07,Others,ELO,Gravel,RL,2.88,8707135
